row,time_s,requested_class,circuit,constraint_jacobian_m_per_a,finite_difference_m_per_a,finite_difference_to_jacobian_ratio,comparison,plus_converged,plus_terminal_residual,plus_centroid_z_m,minus_converged,minus_terminal_residual,minus_centroid_z_m
16,0.03500000014901161,limited,p6_upper,-2.39482593586082e-09,1.8789911677036773e-08,-7.846044840116007,finite difference neither agrees within a factor of two nor exceeds by one order,True,1.411349687149094e-09,-0.003355681418192911,True,1.359017655987343e-09,-0.0033932612415469845
16,0.03500000014901161,limited,p6_upper_minus_p6_lower,6.744481189732816e-08,4.136200170749122e-08,0.6132718076292801,finite difference agrees with the constraint entry within a factor of two,True,1.2755385800745304e-09,-0.0033318965424291485,True,1.1444929587506334e-09,-0.003414620545844131
96,0.4350000023841858,diverted,p6_upper,3.772294296815649e-07,1.5272079829878644e-05,40.48485782981048,finite difference exceeds the constraint entry by one order or more,True,1.4302602393490442e-09,-0.010732132684235889,True,1.584883575213853e-10,-0.04127629234399318
96,0.4350000023841858,diverted,p6_upper_minus_p6_lower,6.335681714039557e-07,2.4658326595705504e-05,38.919768556339996,finite difference exceeds the constraint entry by one order or more,True,6.155312153984278e-10,-0.0024851538689018614,True,1.1959749244666299e-09,-0.05180180706031287
