case	quantity	route	iteration	time_s	value	unit
rampup	central_electron_density	torax-run-simulation	5	10	0.14073775158129584	1e20 m^-3
rampup	central_electron_density	torax-run-simulation	6	12	0.1555080653790101	1e20 m^-3
rampup	central_electron_density	torax-run-simulation	7	14	0.17174169927669242	1e20 m^-3
rampup	central_electron_density	torax-run-simulation	8	16	0.18754489967048077	1e20 m^-3
rampup	central_electron_density	torax-run-simulation	9	18	0.20288922739486706	1e20 m^-3
rampup	central_electron_density	torax-run-simulation	10	20	0.21848855403181686	1e20 m^-3
rampup	central_electron_density	absolute-separation	0	0	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	1	2	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	2	4	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	3	6	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	4	8	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	5	10	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	6	12	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	7	14	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	8	16	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	9	18	0	1e20 m^-3
rampup	central_electron_density	absolute-separation	10	20	0	1e20 m^-3
rampup	axis_psi	facade	0	0	0.0071338535426481442	Wb
rampup	axis_psi	facade	1	2	0.012631673150751737	Wb
rampup	axis_psi	facade	2	4	0.016250966206523675	Wb
rampup	axis_psi	facade	3	6	0.02006419932092882	Wb
rampup	axis_psi	facade	4	8	0.024372687825051729	Wb
rampup	axis_psi	facade	5	10	0.029320334187205043	Wb
rampup	axis_psi	facade	6	12	0.035019837712753653	Wb
rampup	axis_psi	facade	7	14	0.041448377671042175	Wb
rampup	axis_psi	facade	8	16	0.048478788076851555	Wb
rampup	axis_psi	facade	9	18	0.056042619884223134	Wb
rampup	axis_psi	facade	10	20	0.064131376544495564	Wb
rampup	axis_psi	torax-run-simulation	0	0	0.0071338535426481442	Wb
rampup	axis_psi	torax-run-simulation	1	2	0.012631673150751737	Wb
rampup	axis_psi	torax-run-simulation	2	4	0.016250966206523675	Wb
rampup	axis_psi	torax-run-simulation	3	6	0.02006419932092882	Wb
rampup	axis_psi	torax-run-simulation	4	8	0.024372687825051729	Wb
rampup	axis_psi	torax-run-simulation	5	10	0.029320334187205043	Wb
rampup	axis_psi	torax-run-simulation	6	12	0.035019837712753653	Wb
rampup	axis_psi	torax-run-simulation	7	14	0.041448377671042175	Wb
rampup	axis_psi	torax-run-simulation	8	16	0.048478788076851555	Wb
rampup	axis_psi	torax-run-simulation	9	18	0.056042619884223134	Wb
rampup	axis_psi	torax-run-simulation	10	20	0.064131376544495564	Wb
rampup	axis_psi	absolute-separation	0	0	0	Wb
rampup	axis_psi	absolute-separation	1	2	0	Wb
rampup	axis_psi	absolute-separation	2	4	0	Wb
rampup	axis_psi	absolute-separation	3	6	0	Wb
rampup	axis_psi	absolute-separation	4	8	0	Wb
rampup	axis_psi	absolute-separation	5	10	0	Wb
rampup	axis_psi	absolute-separation	6	12	0	Wb
rampup	axis_psi	absolute-separation	7	14	0	Wb
rampup	axis_psi	absolute-separation	8	16	0	Wb
rampup	axis_psi	absolute-separation	9	18	0	Wb
rampup	axis_psi	absolute-separation	10	20	0	Wb
window	maximum_exit_residual	exchanged-state	1		1.7244181062254271	relative
window	maximum_exit_residual	exchanged-state	2		0.88526428252961609	relative
window	maximum_exit_residual	exchanged-state	3		0.45500915267640979	relative
window	maximum_exit_residual	exchanged-state	4		0.23452428075429713	relative
window	maximum_exit_residual	exchanged-state	5		0.12137886616650476	relative
window	maximum_exit_residual	exchanged-state	6		0.063153381130222036	relative
window	maximum_exit_residual	exchanged-state	7		0.033069976727730176	relative
window	maximum_exit_residual	exchanged-state	8		0.017446998651793721	relative
window	maximum_exit_residual	exchanged-state	9		0.0092831536476151218	relative
window	maximum_exit_residual	exchanged-state	10		0.0049860186162435085	relative
window	central_ion_temperature	exchanged-state	1		4.7139083175156049	keV
window	central_ion_temperature	exchanged-state	2		4.7202230255736941	keV
window	central_ion_temperature	exchanged-state	3		4.7240484926492794	keV
window	central_ion_temperature	exchanged-state	4		4.7263774137525365	keV
window	central_ion_temperature	exchanged-state	5		4.7278005838709225	keV
window	central_ion_temperature	exchanged-state	6		4.7286728365778083	keV
window	central_ion_temperature	exchanged-state	7		4.7292087050694764	keV
window	central_ion_temperature	exchanged-state	8		4.7295385530884584	keV
