coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
8,SSAT BR,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,z,4302.63,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,D4-BU,D4-BU,x,8785.57,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,D4-BU,D4-BU,y,-565.29,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,D4-BU,D4-BU,z,4634.14,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,x,8740.44,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,y,0.67,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,z,-3998.61,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,x,11235.69,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,y,-1.36,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,z,0.69,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,x,10730.23,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,y,561.41,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,z,-0.48,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,x,7541.44,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,y,1367.02,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,z,6355.46,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. A4-AU,Orig. A4-AU,x,2706.15,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. A4-AU,Orig. A4-AU,y,-511.85,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. A4-AU,Orig. A4-AU,z,-3700.24,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. B4-AU,Orig. B4-AU,x,2705.43,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. B4-AU,Orig. B4-AU,y,-513.0,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. B4-AU,Orig. B4-AU,z,3699.59,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. C2-AU,Orig. C2-AU,x,5331.32,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. C2-AU,Orig. C2-AU,y,560.8,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. C2-AU,Orig. C2-AU,z,6298.0,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. C4-AU,Orig. C4-AU,x,5334.05,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. C4-AU,Orig. C4-AU,y,-564.04,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. C4-AU,Orig. C4-AU,z,6295.35,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. D1-BU,Orig. D1-BU,x,9143.62,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. D1-BU,Orig. D1-BU,y,-2.45,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. D1-BU,Orig. D1-BU,z,4991.62,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. D2-BU,Orig. D2-BU,x,8785.35,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. D2-BU,Orig. D2-BU,y,553.47,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. D2-BU,Orig. D2-BU,z,4634.12,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E1-BU,Orig. E1-BU,x,9487.59,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E1-BU,Orig. E1-BU,y,-0.4,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E1-BU,Orig. E1-BU,z,-4642.37,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E2-BU,Orig. E2-BU,x,9105.62,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E2-BU,Orig. E2-BU,y,563.26,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E2-BU,Orig. E2-BU,z,-4309.34,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E4-BU,Orig. E4-BU,x,9105.49,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E4-BU,Orig. E4-BU,y,-563.66,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. E4-BU,Orig. E4-BU,z,-4312.1,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F1-AU,Orig. F1-AU,x,5449.56,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F1-AU,Orig. F1-AU,y,1.06,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F1-AU,Orig. F1-AU,z,-7918.54,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F2-BU,Orig. F2-BU,x,5333.03,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F2-BU,Orig. F2-BU,y,592.96,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F2-BU,Orig. F2-BU,z,-6321.57,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F4-BU,Orig. F4-BU,x,5332.52,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F4-BU,Orig. F4-BU,y,-592.1,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. F4-BU,Orig. F4-BU,z,-6321.68,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. G3-BP,Orig. G3-BP,x,10257.62,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. G3-BP,Orig. G3-BP,y,0.84,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. G3-BP,Orig. G3-BP,z,-0.81,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. G4-BU,Orig. G4-BU,x,10728.4,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. G4-BU,Orig. G4-BU,y,-564.0,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. G4-BU,Orig. G4-BU,z,0.69,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H1-AU,Orig. H1-AU,x,2143.06,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H1-AU,Orig. H1-AU,y,-0.28,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H1-AU,Orig. H1-AU,z,0.59,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H2-AU,Orig. H2-AU,x,2705.38,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H2-AU,Orig. H2-AU,y,519.73,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H2-AU,Orig. H2-AU,z,2.6,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H3-AP,Orig. H3-AP,x,3134.38,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H3-AP,Orig. H3-AP,y,1.12,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H3-AP,Orig. H3-AP,z,-1.79,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H4-AU,Orig. H4-AU,x,2703.92,0.15,mm,false
