coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
4,FAT supplier,fiducial,CCL,CCL,H,H,z,0.32,0.01,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,x,9142.89,0.1147129314520561,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,y,3.3,0.1147129314520561,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,z,4989.44,0.1147129314520561,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,x,8442.43,0.1692759689602167,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,y,-1.92,0.1692759689602167,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,z,4295.33,0.1692759689602167,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E2-BU,E2-BU,x,9103.72,0.1271505918814768,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E2-BU,E2-BU,y,563.33,0.1271505918814768,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E2-BU,E2-BU,z,-4313.56,0.1271505918814768,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,x,8732.54,0.2538411930068344,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,y,-1.88,0.2538411930068344,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,z,-3992.79,0.2538411930068344,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E4-BU,E4-BU,x,9106.33,0.1569505769293751,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E4-BU,E4-BU,y,-563.88,0.1569505769293751,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,E4-BU,E4-BU,z,-4311.4,0.1569505769293751,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,x,11236.11,0.1469701426012284,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,y,-2.21,0.1469701426012284,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,z,-0.6,0.1469701426012284,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P10-IOIS,P10-IOIS,x,10659.83,0.1391432319216242,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P10-IOIS,P10-IOIS,y,-1431.15,0.1391432319216242,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P10-IOIS,P10-IOIS,z,-1278.02,0.1391432319216242,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P10-OIS,P10-OIS,x,5990.69,0.1160343185450274,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P10-OIS,P10-OIS,y,-1092.02,0.1160343185450274,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P10-OIS,P10-OIS,z,-6121.77,0.1160343185450274,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,x,10041.76,0.1235915592755607,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,y,-1321.44,0.1235915592755607,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,z,-3031.83,0.1235915592755607,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P13-IOIS,P13-IOIS,x,9295.52,0.114599181273486,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P13-IOIS,P13-IOIS,y,1672.89,0.114599181273486,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P13-IOIS,P13-IOIS,z,3877.89,0.114599181273486,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P14-IOIS,P14-IOIS,x,10100.09,0.1303801989307016,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P14-IOIS,P14-IOIS,y,1815.03,0.1303801989307016,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P14-IOIS,P14-IOIS,z,2375.8,0.1303801989307016,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P15-IOIS,P15-IOIS,x,10482.88,0.1118398876695298,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P15-IOIS,P15-IOIS,y,1882.45,0.1118398876695298,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P15-IOIS,P15-IOIS,z,-1244.04,0.1118398876695298,mm,false
