coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
12,FAT supplier,fiducial,CCL,CCL,H,H,z,-0.29,0.6,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,x,3133.637,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,y,-1.08399,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,z,-3700.78,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,C1-AU,C1-AU,x,5464.216,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,C1-AU,C1-AU,y,1.753539,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,C1-AU,C1-AU,z,6801.388,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,x,9142.297,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,y,-0.3336,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,z,4990.675,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,x,8447.755,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,y,0.885448,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,z,4302.312,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,F1-AU,F1-AU,x,5447.958,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,F1-AU,F1-AU,y,-0.58663,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,F1-AU,F1-AU,z,-7919.58,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,x,11232.27,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,y,-0.64215,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,z,-1.04046,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,H1-AU,H1-AU,x,2144.345,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,H1-AU,H1-AU,y,0.132176,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,H1-AU,H1-AU,z,-0.02364,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,H3-AP,H3-AP,x,3134.01,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,H3-AP,H3-AP,y,0.295989,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,H3-AP,H3-AP,z,-0.38523,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,x,10288.48,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,y,-1752.29,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,z,-2155.31,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P11-OIS,P11-OIS,x,7541.757,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P11-OIS,P11-OIS,y,-1367.6,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P11-OIS,P11-OIS,z,-6354.7,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P12-SCC,P12-SCC,x,10636.92,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P12-SCC,P12-SCC,y,707.1147,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P12-SCC,P12-SCC,z,-2958.25,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P14-SCC,P14-SCC,x,11190.19,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P14-SCC,P14-SCC,y,-251.328,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P14-SCC,P14-SCC,z,3840.294,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,x,7718.786,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,y,-0.34923,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,z,7005.543,0.37,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,x,7747.58,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,y,-0.21755,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,z,-7401.56,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,x,3129.993,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,y,0.253874,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,z,-8287.05,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,x,5784.769,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,y,224.7842,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,z,6934.626,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,x,7542.339,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,y,1367.951,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,z,6355.46,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,x,9205.274,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,y,314.4938,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,z,-7401.71,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-OIS,P3-OIS,x,5992.439,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-OIS,P3-OIS,y,1094.555,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-OIS,P3-OIS,z,6119.104,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,x,9002.548,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,y,-301.073,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,z,7005.642,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,x,9204.695,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,y,-315.568,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,z,-7401.69,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P6-IOIS,P6-IOIS,x,10046.16,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P6-IOIS,P6-IOIS,y,1321.868,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P6-IOIS,P6-IOIS,z,-3030.87,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P6-TCC,P6-TCC,x,5784.808,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P6-TCC,P6-TCC,y,-225.314,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P6-TCC,P6-TCC,z,6934.733,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P7-IOIS,P7-IOIS,x,9468.246,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P7-IOIS,P7-IOIS,y,-1220.97,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P7-IOIS,P7-IOIS,z,3927.96,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P9-OIS,P9-OIS,x,5993.254,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P9-OIS,P9-OIS,y,-1094.52,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,P9-OIS,P9-OIS,z,6118.413,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A2-AU,A2-AU,x,2705.47,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A2-AU,A2-AU,y,520.97,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A2-AU,A2-AU,z,-3700.53,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,B2-AU,B2-AU,x,2705.75,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,B2-AU,B2-AU,y,521.09,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,B2-AU,B2-AU,z,3699.32,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,x,10726.09,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,y,563.52,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,z,-1.44,0.22,mm,false
13,FAT supplier,fiducial,CCL,CCL,A,A,x,2713.4,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,A,A,y,0.26,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,A,A,z,-3700.8,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,B,B,x,2713.41,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,B,B,y,-0.32,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,B,B,z,3698.79,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,C,C,x,5332.14,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,C,C,y,2.19,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,C,C,z,6297.83,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,D,D,x,8979.96,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,D,D,y,-0.05,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,D,D,z,4435.13,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,E,E,x,9582.82,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,E,E,y,-0.54,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,E,E,z,-3696.69,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,F,F',x,3400.14,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,F,F',y,0.53,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,F,F',z,-5598.44,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,G,G,x,10730.14,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,G,G,y,-1.28,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,G,G,z,-2.27,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,H,H,x,2713.62,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,H,H,y,-0.71,0.6,mm,false
13,FAT supplier,fiducial,CCL,CCL,H,H,z,-1.36,0.6,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,x,3134.02,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,y,-0.2,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,z,-3699.19,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,A4-AU,A4-AU,x,2706.38,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,A4-AU,A4-AU,y,-519.84,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,A4-AU,A4-AU,z,-3699.23,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B1-AU,B1-AU,x,2143.82,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B1-AU,B1-AU,y,0.46,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B1-AU,B1-AU,z,3700.82,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B3-AP,B3-AP,x,3134.19,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B3-AP,B3-AP,y,1.15,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B3-AP,B3-AP,z,3701.11,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B4-AU,B4-AU,x,2706.6,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B4-AU,B4-AU,y,-518.85,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,B4-AU,B4-AU,z,3701.25,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,x,9141.54,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,y,1.3,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,z,4992.84,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,D2-BU,D2-BU,x,8784.4,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,D2-BU,D2-BU,y,564.33,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,D2-BU,D2-BU,z,4634.05,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,H1-AU,H1-AU,x,2144.14,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,H1-AU,H1-AU,y,-0.28,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,H1-AU,H1-AU,z,1.26,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P10-OIS,P10-OIS,x,5993.04,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P10-OIS,P10-OIS,y,-1094.69,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P10-OIS,P10-OIS,z,-6116.85,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,x,10289.3,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,y,-1751.29,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,z,-2154.82,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,x,10046.37,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,y,-1323.03,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,z,-3030.47,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF1,P1-PF1,x,3130.34,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF1,P1-PF1,y,-0.38,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF1,P1-PF1,z,8287.04,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,x,7720.02,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,y,-0.09,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,z,7005.4,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,x,7748.11,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,y,0.18,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,z,-7401.55,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P22-SCC,P22-SCC,x,11189.76,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P22-SCC,P22-SCC,y,-377.53,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P22-SCC,P22-SCC,z,-1908.19,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,x,7542.07,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,y,1367.43,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,z,6355.76,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF1,P2-PF1,x,4780.45,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF1,P2-PF1,y,307.53,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF1,P2-PF1,z,8286.76,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,x,9205.76,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,y,314.83,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,z,-7401.76,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF6,P2-PF6,x,5429.31,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF6,P2-PF6,y,307.4,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF6,P2-PF6,z,-8287.54,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-OIS,P3-OIS,x,5992.3,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-OIS,P3-OIS,y,1094.15,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-OIS,P3-OIS,z,6119.6,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF1,P3-PF1,x,4780.73,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF1,P3-PF1,y,-307.99,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF1,P3-PF1,z,8286.98,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,x,9003.27,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,y,-300.09,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,z,7005.21,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,x,9205.89,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,y,-314.84,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,z,-7401.78,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF6,P3-PF6,x,5429.69,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF6,P3-PF6,y,-307.71,0.4,mm,false
13,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF6,P3-PF6,z,-8287.6,0.4,mm,false
