trip,promotion,wall_s,primary_linear_wall_s,ladder_scoring_wall_s,recovery_wall_s,rebuild_wall_s,descent_wall_s,unattributed_boundary_wall_s,ladder_grade_reached,backtrack_count,accepted,primary_gmres_restarts,primary_gmres_iterations_used,rebuild_gmres_calls,rebuild_gmres_restarts,rebuild_gmres_iterations_used,gmres_iterations_used,recovery_activated,recovery_radius_before,recovery_radius_after,recovery_outcome,rebuild_activated,rebuild_damping,rebuild_relinearized,rebuild_accepted,descent_activated,descent_grades_evaluated,descent_accepted
3,6,0.009567436,0.005753369,0.0016715310000000002,0.0,0.0,0.0,0.0021425359999999996,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
3,7,0.010277439000000001,0.005777953000000001,0.002042602,0.0,0.0,0.0,0.002456884000000001,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
3,8,0.009909018,0.0056249640000000005,0.002044618,0.0,0.0,0.0,0.002239435999999999,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
3,9,0.009906931,0.005785922000000001,0.001762558,0.0,0.0,0.0,0.002358451,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
3,10,0.009333600000000001,0.00575799,0.0015520710000000001,0.0,0.0,0.0,0.0020235390000000004,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
3,11,0.013654451000000001,0.005386308,0.002200505,0.0,0.0,0.0,0.006067638000000001,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
3,12,0.009024615,0.005230565,0.0014764,0.0,0.0,0.0,0.0023176499999999992,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,1,0.279595397,0.27536161800000003,0.001901848,0.0,0.0,0.0,0.0023319310000000093,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,2,0.27142922,0.26716831,0.0018661460000000002,0.0,0.0,0.0,0.0023947639999999937,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,3,0.271757903,0.267246188,0.0022112060000000003,0.0,0.0,0.0,0.002300509000000006,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
