trip,promotions,accepted_promotions,rejected_promotions,instrumented_promotion_wall_s,banked_trip_wall_s,primary_linear_wall_s,ladder_scoring_wall_s,recovery_wall_s,rebuild_wall_s,descent_wall_s,post_promotion_wall_s,recovery_rebuild_descent_share,gmres_iterations_used,recovery_activations,rebuild_activations,descent_activations
1,12,12,0,0.11775215800000001,,0.067168563,0.022181058,0.0,0.0,0.0,0.028402537,0.0,144,0,0,0
2,12,12,0,0.127266978,0.20334009900000002,0.071080871,0.027750765,0.0,0.0,0.0,0.028435342000000006,0.0,144,0,0,0
3,12,12,0,0.124333178,0.198114493,0.07149991900000001,0.022163051000000003,0.0,0.0,0.0,0.030670208,0.0,144,0,0,0
4,12,12,0,3.7591986680000002,3.850397982,3.2462973460000004,0.481497814,0.003791755,0.0,0.0,0.02761175299999996,0.0010086604446519771,144,2,0,0
5,12,12,0,5.593334399000001,5.672600539,3.234427953,0.9611539010000001,0.007830900000000002,0.7807058570000001,0.00383154,0.6053842480000002,0.14166295817065092,468,4,3,2
6,12,5,7,12.316521942,12.300403974,3.2262417720000003,2.769619763,0.022393156,2.989751645,0.024554076,3.2839615299999996,0.24655490334854147,502,12,12,12
7,12,0,12,12.410214642,12.297384434000001,3.20787351,2.7645741690000003,0.021447215000000002,2.994902606,0.022149435000000002,3.399267707,0.24483857400151485,612,12,12,12
