Fri Sep  4 23:42:45 2026    docs/figures/millisecond-converged-solve/trip-quantum/host-profile/production-solve.pstats

         4663 function calls (4552 primitive calls) in 41.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 flattree.py:233(map)
        4    0.000    0.000    0.000    0.000 util.py:757(<genexpr>)
       12    0.000    0.000    0.000    0.000 flattree.py:182(__init__)
        3    0.000    0.000    0.000    0.000 flattree.py:145(__iter__)
        6    0.000    0.000    0.000    0.000 util.py:174(<genexpr>)
        2    0.000    0.000    0.000    0.000 util.py:762(<lambda>)
        1    0.000    0.000    0.000    0.000 dispatch.py:291(needs_check_special)
        1    0.000    0.000    0.000    0.000 array.py:550(format)
        1    0.000    0.000    0.000    0.000 pjit.py:835(_qdd_cache_index)
        7    0.000    0.000    0.000    0.000 array.py:356(is_fully_replicated)
        2    0.000    0.000    0.000    0.000 pjit.py:830(_seen_qdds_get)
      109    0.000    0.000    0.000    0.000 core.py:1911(<lambda>)
        1    0.000    0.000    0.000    0.000 enum.py:676(__call__)
        1    0.000    0.000    0.000    0.000 flattree.py:329(<lambda>)
     13/6    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 util.py:744(filter_with_mask)
      4/2    0.000    0.000    0.000    0.000 flattree.py:186(__eq__)
        5    0.000    0.000    0.000    0.000 flattree.py:215(map)
      4/2    0.000    0.000    0.000    0.000 flattree.py:188(__hash__)
        1    0.000    0.000    0.000    0.000 pjit.py:1059(_resolve_in_shardings)
        1    0.000    0.000    0.000    0.000 pjit.py:976(_resolve_in_layouts)
      118    0.000    0.000    0.000    0.000 core.py:1800(has_qdd)
        1    0.000    0.000    0.000    0.000 flattree.py:296(flatten)
        2    0.000    0.000    0.000    0.000 api_util.py:716(check_no_aliased_ref_args)
        8    0.000    0.000    0.000    0.000 flattree.py:208(__len__)
        1    0.000    0.000    0.000    0.000 pxla.py:1230(compile)
        1    0.000    0.000    0.000    0.000 dispatch.py:285(check_arg)
        1    0.000    0.000    0.000    0.000 enum.py:186(__get__)
        2    0.000    0.000    0.000    0.000 weakref.py:407(setdefault)
        6    0.000    0.000    0.000    0.000 flattree.py:202(__init__)
        1    0.000    0.000    0.000    0.000 array.py:395(is_fully_addressable)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 dispatch.py:196(__exit__)
       30    0.000    0.000    0.000    0.000 flattree.py:183(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:1876(valid_jaxtype)
        1    0.000    0.000    0.000    0.000 pjit.py:619(get_ctx_mesh)
        1    0.000    0.000    0.000    0.000 sharding_impls.py:180(is_fully_addressable)
        4    0.000    0.000    0.000    0.000 util.py:737(__init__)
        6    0.000    0.000    0.000    0.000 flattree.py:220(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:463(_replace)
        1    0.000    0.000    0.000    0.000 layout.py:145(__eq__)
        2    0.000    0.000    0.000    0.000 pjit.py:519(<genexpr>)
        1    0.000    0.000    0.000    0.000 layout.py:48(from_pjrt_layout)
        1    0.000    0.000    0.000    0.000 enum.py:1318(name)
       10    0.000    0.000    0.000    0.000 flattree.py:234(<genexpr>)
        1    0.000    0.000    0.000    0.000 dispatch.py:189(__enter__)
        1    0.000    0.000    0.000    0.000 pjit.py:844(_qdd_cache_update)
        1    0.000    0.000    0.000    0.000 core.py:178(in_aval_qdds)
        1    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 pjit.py:612(_infer_params_cached)
        1    0.000    0.000    0.000    0.000 pjit.py:126(__hash__)
        1    0.000    0.000    0.000    0.000 api_util.py:690(<genexpr>)
        2    0.000    0.000    0.000    0.000 flattree.py:228(__eq__)
        1    0.000    0.000    0.000    0.000 core.py:1587(trace_state_clean)
        8    0.000    0.000    0.000    0.000 array.py:604(_check_if_deleted)
        1    0.000    0.000    0.000    0.000 pjit.py:1046(finalize_arg_sharding)
        1    0.000    0.000    0.000    0.000 layout.py:142(__hash__)
        1    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
        2    0.000    0.000    0.000    0.000 core.py:149(invars)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 core.py:1458(is_top_level)
        1    0.000    0.000    0.000    0.000 __init__.py:453(_make)
        1    0.000    0.000    0.000    0.000 enum.py:1145(__new__)
        2    0.000    0.000    0.000    0.000 flattree.py:231(__hash__)
        2    0.000    0.000    0.000    0.000 flattree.py:57(<genexpr>)
        4    0.000    0.000    0.000    0.000 util.py:120(_arraylike)
        1    0.000    0.000    0.000    0.000 flattree.py:305(statics_mask)
        2    0.000    0.000    0.000    0.000 forward_operator.py:113(_class_margin)
        1    0.000    0.000    0.000    0.000 linear_util.py:355(safe_arg_names)
        8    0.000    0.000    0.000    0.000 flattree.py:227(__len__)
        1    0.000    0.000    0.000    0.000 layout.py:111(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        4    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 <string>:11(__eq__)
        7    0.000    0.000    0.000    0.000 sharding_impls.py:176(is_fully_replicated)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        2    0.000    0.000    0.000    0.000 pjit.py:522(<genexpr>)
        1    0.000    0.000    0.000    0.000 pxla.py:2009(get_dispatch_layouts)
        9    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
        2    0.000    0.000    0.000    0.000 util.py:748(<genexpr>)
        1    0.000    0.000    0.000    0.000 enum.py:1298(__hash__)
        1    0.000    0.000    0.000    0.000 sharding_impls.py:146(num_devices)
        1    0.000    0.000    0.000    0.000 core.py:1293(check_eval_args)
        2    0.000    0.000    0.000    0.000 layout.py:62(__hash__)
        1    0.000    0.000    0.000    0.000 linear_util.py:362(assert_arg_names)
        1    0.000    0.000    0.000    0.000 <string>:25(__hash__)
       13    0.000    0.000    0.000    0.000 flattree.py:225(tree)
        2    0.000    0.000    0.000    0.000 util.py:476(fun_name)
        2    0.000    0.000    0.000    0.000 profiler.py:506(trace)
        1    0.000    0.000    0.000    0.000 pjit.py:533(<lambda>)
        1    0.000    0.000    0.000    0.000 xla_bridge.py:1098(process_index)
        1    0.000    0.000    0.000    0.000 pjit.py:202(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:162(effects)
        3    0.000    0.000    0.000    0.000 core.py:127(consts)
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:166(debug_info)
        2    0.000    0.000    0.000    0.000 flattree.py:209(__eq__)
        2    0.000    0.000    0.000    0.000 pjit.py:735(_create_sharding_for_array)
        2    0.000    0.000    0.000    0.000 flattree.py:213(__hash__)
        2    0.000    0.000    0.000    0.000 pxla.py:2045(check_device_backend_on_shardings)
        2    0.000    0.000    0.000    0.000 flattree.py:127(<lambda>)
        1    0.000    0.000    0.000    0.000 mesh.py:635(get_concrete_mesh)
        1    0.000    0.000    0.000    0.000 core.py:174(in_avals)
        1    0.000    0.000    0.000    0.000 layout.py:41(__init__)
        2    0.000    0.000    0.000    0.000 inspect.py:3041(parameters)
        3    0.000    0.000    0.000    0.000 core.py:1450(trace)
        1    0.000    0.000    0.000    0.000 util.py:764(__len__)
        1    0.000    0.000    0.000    0.000 inspect.py:2830(__init__)
