manifest_row,time_s,converged,qualified,candidate_node,candidate_node_r_m,candidate_node_z_m,sampled_flux_wb,fitted_anchor_r_m,fitted_anchor_z_m,fitted_anchor_flux_wb,quadratic_curvature,stationary_coordinate_m,bracket_length_m,tangent_at_wall_node,contour_closed,inside_vertex_count,boundary_vertex_count,containment_fraction,enclosed_area_m2,enclosed_area_ratio,trace_error,selected_by_public_read,selected_by_private_read,nearest_fully_contained_ratio_one,maximum_containment_candidate,public_contour_closed,selected_anchor_candidate_contour_closed,selected_anchor_candidate_containment_fraction,nearest_fully_contained_candidate_node,nearest_fully_contained_candidate_ratio,maximum_containment_fraction,maximum_containment_candidate_node
15,0.029999999329447746,True,False,0,1.899999976158142,0.4050000011920929,-0.026679305511181015,,,,,,,,False,,,,,,the centred bracket contains duplicate coordinates,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,1,1.5551042556762695,0.4050000011920929,0.00647091691129878,1.5551042556762695,0.4558341092577278,0.007027109770921195,-0.21523604015706746,0.3957298285475075,0.7623959481716156,True,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,2,1.5551042556762695,0.8225002288818359,-0.021910093727414662,1.5551042556762695,0.6593996762971652,-0.041716943204190636,0.7445682898813897,0.25439967510507233,0.5646738708019257,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,3,1.407930612564087,0.8225002288818359,0.02996270303357851,1.407930612564087,0.8333327748409446,0.030207664974457604,-2.0875531123681177,0.1580061890712913,0.3576737642288208,True,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,4,1.407930612564087,1.0330003499984741,-0.053017108402176286,1.3961462089036865,1.0330003499984741,-0.05325098757395716,1.684132770457189,0.22228452477703867,0.5784996747970581,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,5,1.039931058883667,1.0330003499984741,0.1604473281143084,1.039931058883667,1.0867028868303223,0.1639662079614762,-1.2201545246579744,0.4217020905122682,0.5299992561340332,True,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,6,1.039931058883667,1.1950000524520874,0.14965589883394229,1.039931058883667,1.0330003499984741,0.16418920511805168,-0.13436925987490692,-0.16687634978097687,1.0220686197280884,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,7,1.899999976158142,1.1950000524520874,-0.02575385583020899,1.899999976158142,1.2477057205023945,-0.026340658035930775,0.21124045427269433,0.9127745853247823,1.4900689125061035,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,8,1.899999976158142,1.8250000476837158,0.04405918203790463,1.899999976158142,1.1950000524520874,-0.14312932447653479,0.020431678948326336,-2.3968267431380705,1.96506929397583,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,9,0.5649306774139404,1.8250000476837158,0.24560659912279542,1.499983163580424,1.8250000476837158,-0.0010897184267764093,0.2821569084810224,0.4000168125777181,1.4319877624511719,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.42294861722657623,1.0,10
15,0.029999999329447746,True,False,10,0.5649306774139404,1.7280815839767456,0.2993972431332273,0.6052100137479712,1.7280815839767456,0.30447091553781636,-3.127215499183751,0.137197800041001,0.315487802028656,True,True,64,64,1.0,0.03177839995637763,0.04184576142540353,,True,True,False,True,True,True,1.0,25,0.42294861722657623,1.0,10
