candidate,cell,radius_m,height_m,full_vertex_count,support_vertex_count,neighbour_count,analytic_m0_a,repaired_m0_a,relative_m0_error,fit_constraint_residual_a_m2,one_sided_condition
own_geometry,0,5.10351553389521,-3.748449708623358,8,8,6,-563.88115946132,-1205.0443485535166,1.1370537538525045,371.43418025813753,nan
own_geometry,1,5.5274406867329535,-4.4792321743318935,33,33,8,-477.32026562001977,-560.9605604781887,0.1752288785591861,0.002450736617902294,nan
own_geometry,2,5.364739391056437,-4.34151179943077,3,3,4,-244.21235291926467,-301.7056825060972,0.2354235111351617,4.3655745685100555e-10,nan
own_geometry,3,5.479811175351997,-4.3127512002534685,6,7,4,-1767.3107973057226,-2567.904686651961,0.4530011872086955,8.731149137020111e-11,nan
own_geometry,4,5.335486985834499,-4.1791517843021015,13,13,7,-2898.7787941125853,-3789.5286681091234,0.3072845281625661,0.001066943717887625,nan
own_geometry,5,5.479342791778796,-4.059564129423392,5,4,7,-2.156224923677263,-148.51992347281714,67.8796061310379,5.161382432561368e-11,nan
own_geometry,6,5.30958827701368,-3.922024475805872,8,8,5,-533.4861205324004,-1302.8318288473693,1.4421100731677685,921.3186942916709,nan
own_geometry,8,5.2870632529335,-3.678128979015079,6,4,6,-2.1532879421710076,-258.6620569730805,119.1242304418841,2.1827872842550278e-11,nan
own_geometry,13,5.72750662646675,-3.169548778470661,6,5,6,-217.47481273426453,-692.3332690422206,2.183510128541608,6.002665031701326e-11,nan
own_geometry,15,4.582680123878616,-3.751872916282149,6,6,6,-826.3706528485218,-1494.9075943212765,0.8090037311565821,1.9099388737231493e-10,nan
own_geometry,16,4.84800011240711,-3.640628281554349,9,10,5,-551.4063634644492,-1397.6405512527544,1.5346833911590585,120.42162624721414,nan
own_geometry,17,5.066841566166875,-3.550983928878974,6,5,6,-72.45406830851313,-730.8266731418506,9.086758276014995,2.9103830456733704e-11,nan
own_geometry,18,4.84661987940025,-3.42383887874287,6,3,6,0.0,-46.09426911185569,nan,1.0913936421275139e-11,nan
own_geometry,23,4.84661987940025,-2.9152586781984526,6,4,6,-48.61202732342255,-364.46176912261853,6.497357941848503,3.637978807091713e-11,nan
own_geometry,25,5.2870632529335,-3.42383887874287,6,4,6,0.0,-54.883015328314535,nan,9.094947017729282e-12,nan
own_geometry,26,5.507284939700125,-3.2966938286067657,6,5,6,-18.47851537358944,-288.6407118035592,14.620341026752678,2.000888343900442e-11,nan
own_geometry,35,5.947728313233375,-3.042403728334557,6,5,6,-501.2657267142291,-1084.2328552538943,1.1629902015463625,8.731149137020111e-11,nan
own_geometry,37,6.167949999999999,-2.9152586781984526,6,5,6,-607.9708758968009,-1247.9910553184127,1.0527151954072405,1.2005330063402653e-10,nan
own_geometry,40,6.167949999999999,-2.6609685779262437,6,6,6,-18302.63190959276,-19650.914594012927,0.07366605475540955,8.221832104027271e-10,nan
own_geometry,75,4.407346364316974,-3.855381693289957,14,14,6,-1208.2192606183362,-1580.736105983899,0.3083189099095458,0.0064024804887594655,nan
own_geometry,76,4.261377047853079,-3.8148553596637442,35,36,5,-248.80752167836232,-1816.25840618709,6.29985329195553,0.045962975498696323,nan
own_geometry,77,4.410204175112744,-3.6799280644149452,6,5,5,-186.95461747314152,-552.8805697299401,1.957298285555149,1.3096723705530167e-10,nan
own_geometry,78,4.6263981926336255,-3.550983928878974,6,4,6,-11.645149005767433,-215.26052680233198,17.484995485735823,2.1827872842550278e-11,nan
own_geometry,95,4.406176505867,-1.6438081768374084,6,3,6,0.0,-1.7778929945916528,nan,7.275957614183426e-12,nan
own_geometry,97,4.406176505867,-1.3895180765652,6,4,6,-178.5696405600316,-489.1296594743314,1.7391535198274404,7.275957614183426e-11,nan
own_geometry,102,4.406176505867,-1.135227976292991,6,5,6,-1331.031765864254,-1765.425233873373,0.3263584530058621,1.1641532182693481e-10,nan
own_geometry,104,4.406176505867,-0.8809378760207827,6,5,6,-3645.1426575693586,-3808.5540785314956,0.04482991101124764,1.1641532182693481e-10,nan
own_geometry,106,4.406176505867,-0.6266477757485739,6,6,6,-6703.2342680491865,-7011.6220646192,0.04600582110637792,2.0372681319713587e-10,nan
own_geometry,107,4.202036701324899,-0.4995027256124692,7,3,6,0.0,-0.0033199854735424406,nan,3.268496584496461e-13,nan
own_geometry,108,4.406176505867,-0.3723576754763655,6,7,6,-9627.775010047022,-10289.832360785167,0.06876535337056153,2.9103830456733704e-10,nan
own_geometry,109,4.202036701324899,-0.2452126253402608,7,3,6,-16.735204722998894,-88.01290548238434,4.25914722521618,1.3241517800435913e-11,nan
own_geometry,110,4.406176505867,-0.11806757520415613,6,7,6,-11984.716067927027,-13135.305817604425,0.09600475665473258,3.346940502524376e-10,nan
own_geometry,111,4.202036701324899,0.009077474931947632,7,3,6,-158.80167599971304,-329.3742106321011,1.0741230126103725,2.9103830456733704e-11,nan
own_geometry,225,4.406176505867,0.1362225250680523,6,7,6,-13648.481366615411,-14863.075210470068,0.08899113470789423,1.7462298274040222e-10,nan
own_geometry,226,4.202036701324899,0.263367575204157,7,4,6,-425.8994076729383,-615.3966511152914,0.44493427327767987,1.1641532182693481e-10,nan
own_geometry,227,4.406176505867,0.39051262534026077,6,6,6,-14653.578594957271,-15368.889320674105,0.04881474658777164,2.9103830456733704e-10,nan
own_geometry,228,4.202036701324898,0.5176576754763654,7,5,6,-697.9690218817551,-906.0490897736441,0.2981222108266296,1.1641532182693481e-10,nan
own_geometry,229,4.406176505867,0.6448027256124701,6,6,6,-15130.667483753583,-15667.502010377571,0.03547989718235562,2.9103830456733704e-10,nan
own_geometry,230,4.202036701324898,0.7719477757485739,7,5,6,-849.1180689764135,-1071.0110014901518,0.26132164727247364,9.458744898438454e-11,nan
