// SpatialAnalyzer SA 2022.2.0624.7 ( x64 )  
// Points Relative to Coordinate Frame 'Frames::TGCS clocked to Sector6'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z

Nominal references,  USMN Composite VV+TFC FINAL POSITION,  IS_PS1_03,  3704.093677,  649.607720,  -2010.880032
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  IS_PS1_04,  3703.284360,  -656.342323,  -2010.533784
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-B2-AU1,  2573.202978,  980.546835,  3730.540228
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-H2-AU1,  2575.331260,  981.351957,  29.700652
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-A2-AU1,  2573.839248,  980.205184,  -3672.291961
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P4-OIS1,  5709.638386,  2117.999628,  -6088.616721
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P5-OIS1,  7189.450360,  2657.536272,  -6324.673736
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P16-IOIS1,  9407.433900,  3460.089340,  -2970.208671
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P15-IOIS1,  9994.504729,  3675.306788,  -1216.730341
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-G2-BU1,  10465.182713,  2410.726298,  28.648816
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-G1-BU1,  11060.206877,  1952.977057,  28.209094
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P14-IOIS1,  9626.194010,  3541.312812,  2408.126636
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P13-IOIS1,  8861.512279,  3262.807808,  3909.221110
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-D2-BU1,  8551.652520,  2081.977431,  4662.192701
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P2-OIS1,  7188.257847,  2656.280313,  6384.735121
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-P3-OIS1,  5709.635096,  2117.424557,  6148.931619
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  IS_PS4_18,  6525.799590,  -2156.298150,  -2929.239935
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  IS_PS2_12,  6956.370348,  -2101.374584,  3805.859377
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P9-OIS1,  5709.980744,  -2120.403787,  6148.729399
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-D4-BU1,  8550.232674,  -2082.089058,  4662.622968
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P17-IOIS1,  8863.072176,  -3264.524692,  3909.352844
