trip,promotion,wall_s,accepted
1,1,0.004970517000000001,True
1,2,0.004306258,True
1,3,0.0043479420000000005,True
1,4,0.0044220480000000005,True
1,5,0.0045209180000000005,True
1,6,0.0044339800000000006,True
1,7,0.004409448000000001,True
1,8,0.004454073,True
1,9,0.004277642,True
1,10,0.0044246780000000005,True
1,11,0.004493589,True
1,12,0.004497914,True
2,1,0.005126205,True
2,2,0.005116387,True
2,3,0.004806001000000001,True
2,4,0.004924175,True
2,5,0.005084427000000001,True
2,6,0.005146623,True
2,7,0.004908265,True
2,8,0.00565734,True
2,9,0.005443272000000001,True
2,10,0.005685173,True
2,11,0.005438247,True
2,12,0.010097373,True
3,1,0.005933908000000001,True
3,2,0.005643911000000001,True
3,3,0.0056122690000000005,True
3,4,0.0054594940000000005,True
3,5,0.005602824,True
3,6,0.0056522230000000005,True
3,7,0.005665104000000001,True
3,8,0.0056273090000000005,True
3,9,0.005472271000000001,True
3,10,0.005398168,True
3,11,0.005608907000000001,True
3,12,0.00564375,True
4,1,0.27246351900000004,True
4,2,0.26855643100000004,True
4,3,0.27852364300000004,True
4,4,0.26934481,True
4,5,0.26812249600000004,True
4,6,0.26847675400000004,True
4,7,0.273197205,True
4,8,0.27063491,True
4,9,0.49977992600000004,True
4,10,0.268130191,True
4,11,0.27286445600000003,True
4,12,0.505664085,True
5,1,0.26973383100000003,True
5,2,0.267706019,True
5,3,0.26815844,True
5,4,0.5061197630000001,True
5,5,0.269007374,True
5,6,0.27184219800000003,True
5,7,0.27155317900000003,True
5,8,0.7959434360000001,True
5,9,1.00970647,True
5,10,0.268162926,True
5,11,0.26806641800000003,True
5,12,1.025118483,True
6,1,1.021233322,True
6,2,1.0031743100000001,True
6,3,0.9993834140000001,True
6,4,1.003610857,True
6,5,0.997923824,True
6,6,1.002359856,False
6,7,0.003523192,False
6,8,0.003967156,False
6,9,0.002848731,False
6,10,0.003062654,False
6,11,0.0029539360000000003,False
6,12,0.0033401090000000004,False
7,1,1.011992299,False
7,2,0.0029816590000000002,False
7,3,0.003004553,False
7,4,0.0031288180000000002,False
7,5,0.00295427,False
7,6,0.0031386440000000003,False
7,7,0.0029184040000000003,False
7,8,0.004708009,False
7,9,0.0029538800000000003,False
7,10,0.003715218,False
7,11,0.003088763,False
7,12,0.0031637450000000004,False
