row,time_s,requested_class,arm,converged,solve_error,termination_reason,terminal_residual,axis_r_m,axis_z_m,efit_rmaxis_m,efit_zmaxis_m,axis_delta_r_m,axis_delta_z_m,current_centroid_z_m,centroid_target_z_m,centroid_error_m,first_contact_node,first_contact_node_r_m,first_contact_node_z_m,fitted_contact_r_m,fitted_contact_z_m,axis_flux_wb,first_contact_flux_wb,flux_distance_from_axis_wb,boundary_flux_wb,contour_closed,trace_error,enclosed_area_m2,reconstruction_area_m2,enclosed_area_ratio,max_abs_compensating_current_a,constraint_observed_m,constraint_target_m,constraint_physical_residual_m,constraint_normalized_unknown,constraint_physical_unknown_a,constraint_qualified,compensator_rule,compensator_authority,trip_count
15,0.029999999329447746,limited,free,True,,converged,1.623336099988096e-09,0.6575823587311788,-0.010451103565198395,0.6689363121986389,-0.01729215681552887,-0.011353953467460154,0.006841053250330475,-0.0034519676654326532,-0.018364788964390755,0.014912821298958101,10,0.5649306774139404,1.7280815839767456,0.6052100137479712,1.7280815839767456,0.3056408914209857,0.3044709155378161,-0.0011699758831696383,0.3044709155378161,True,,0.03177839995638576,0.7594174146652222,0.041845761425414234,,,,,,,,,,1
15,0.029999999329447746,limited,conditioned,False,,active_set_settled,0.06744568744168258,0.5875972445501204,-0.42342108754833435,0.6689363121986389,-0.01729215681552887,-0.0813390676485185,-0.4061289307328055,-0.0034656065648929688,-0.018364788964390755,0.014899182399497786,10,0.5649306774139404,1.7280815839767456,0.6054253874858634,1.7280815839767456,0.2932795881934129,0.305114478651584,0.011834890458171099,0.305114478651584,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.7594174146652222,,0.0,-0.0034656065648929688,-0.018364788964390755,0.014899182399497786,0.0,0.0,False,dominant_authority,3.918737085291846e-07,1
15,0.029999999329447746,limited,conditioned_warm,False,NoQualifiedAxisError: no qualified magnetic-axis candidate has a resolved component,,,,,0.6689363121986389,-0.01729215681552887,,,,-0.018364788964390755,,,,,,,,,,,False,,,0.7594174146652222,,,,,,,,,,,
16,0.03500000014901161,limited,free,True,,converged,1.136941060407411e-09,0.6799217413516111,-0.0018526631348953027,0.6735830903053284,-0.019688833504915237,0.006338651046282728,0.017836170370019933,-0.0033733404103406415,-0.02177450619637966,0.01840116578603902,10,0.5649306774139404,1.7280815839767456,0.6050537429416492,1.7280815839767456,0.2979949164352674,0.28694575567005143,-0.011049160765215948,0.28694575567005143,True,,0.26971299234811086,0.8042507767677307,0.3353593184355786,,,,,,,,,,1
16,0.03500000014901161,limited,conditioned,False,,active_set_settled,0.06063491715290084,0.5154329097168836,-1.726061282370699,0.6735830903053284,-0.019688833504915237,-0.15815018058844477,-1.7063724488657837,-0.0033529444193794587,-0.02177450619637966,0.018421561777000203,10,0.5649306774139404,1.7280815839767456,0.6051879005376203,1.7280815839767456,0.2907555939331855,0.28732476215150393,-0.003430831781681576,0.28732476215150393,True,,0.0015192873409688445,0.8042507767677307,0.0018890716488640929,0.0,-0.0033529444193794587,-0.02177450619637966,0.018421561777000203,0.0,0.0,False,dominant_authority,2.340766555718452e-07,1
16,0.03500000014901161,limited,conditioned_warm,False,,active_set_settled,0.0042519843504373565,0.6549868635000408,-0.10559073967710148,0.6735830903053284,-0.019688833504915237,-0.018596226805287608,-0.08590190617218624,-0.0023104241758983702,-0.02177450619637966,0.01946408202048129,25,0.5649306774139404,-1.7280815839767456,0.611972942499861,-1.7280815839767456,0.34123793329083857,0.3012467933856884,-0.039991139905150186,0.3012467933856884,True,,1.1014930760989745,0.8042507767677307,1.36958907335577,8018.373823275182,-0.0023104241758983702,-0.02177450619637966,0.01946408202048129,-0.000283288234316566,-8018.373823275182,False,dominant_authority,3.5329886154005005e-08,1
17,0.03999999910593033,limited,free,True,,converged,7.336651509264504e-11,0.7104105965906178,0.0038515587536146582,0.7083067893981934,-0.021497538313269615,0.002103807192424423,0.025349097066884273,-0.0032557860318948467,-0.024656400084495544,0.021400614052600696,10,0.5649306774139404,1.7280815839767456,0.605388430577962,1.7280815839767456,0.29429636307449836,0.2712440492948911,-0.02305231377960726,0.2712440492948911,True,,0.5240258909416382,0.917616069316864,0.5710731410052123,,,,,,,,,,1
17,0.03999999910593033,limited,conditioned,False,NoQualifiedAxisError: no qualified magnetic-axis candidate has a resolved component,,,,,0.7083067893981934,-0.021497538313269615,,,,-0.024656400084495544,,,,,,,,,,,False,,,0.917616069316864,,,,,,,,,,,
17,0.03999999910593033,limited,conditioned_warm,False,,active_set_settled,0.0048148647804208,0.6834845500441953,-0.08732370235032941,0.7083067893981934,-0.021497538313269615,-0.024822239353998077,-0.06582616403705979,-0.00268626931029973,-0.024656400084495544,0.021970130774195816,25,0.5649306774139404,-1.7280815839767456,0.6112279137953949,-1.7280815839767456,0.33598929043586223,0.28031191246614784,-0.05567737796971439,0.28031191246614784,True,,1.417207678857359,0.917616069316864,1.5444451402343304,7113.102602708418,-0.00268626931029973,-0.024656400084495544,0.021970130774195816,-0.0003285466929297358,-7113.102602708418,False,dominant_authority,4.6188943317735475e-08,1
11,0.009999999776482582,limited,free,True,,converged,5.754179075284097e-10,0.5601925729291074,-0.033912302834747485,0.5506857633590698,-0.01918219029903412,0.009506809570037578,-0.014730112535713366,-0.0033708766874925673,-0.01581486500799656,0.012443988320503991,10,0.5649306774139404,1.7280815839767456,0.6078280467607359,1.7280815839767456,0.34153370183019477,0.3832262453047604,0.041692543474565635,0.3832262453047604,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.45848312973976135,,,,,,,,,,,1
11,0.009999999776482582,limited,conditioned,False,,active_set_settled,0.053042283397612466,0.5890617664375865,0.47696928051484255,0.5506857633590698,-0.01918219029903412,0.03837600307851663,0.49615147081387667,-0.0035158719345179702,-0.01581486500799656,0.012298993073478589,10,0.5649306774139404,1.7280815839767456,0.6083520657144538,1.7280815839767456,0.33797116850558695,0.3850635179171649,0.04709234941157797,0.3850635179171649,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.45848312973976135,,0.0,-0.0035158719345179702,-0.01581486500799656,0.012298993073478589,0.0,0.0,False,dominant_authority,8.832758699614681e-07,1
