revision=4d51fba1a tree=/home/ITER/mcintos/Code/.reckon-worktrees/nova-a0f1e0938fc2/s19-codex-20260916/fsapi-core-modules-importing-optional-extras-census
command=python benchmarks/optional_extra_import_census.py
skipped self-reference in extra 'test': ['nova-stella[jax,transport]']
core import names: 22
FINDING nova/frame/ferritic.py:10 sklearn extras=mast,test,viz
FINDING nova/frame/ferritic.py:11 vedo extras=test,viz
FINDING nova/frame/vde.py:19 matplotlib extras=matplotlib,test
FINDING nova/frame/winding.py:8 vedo extras=test,viz
FINDING nova/geometry/centerline.py:9 pandas extras=interchange
FINDING nova/geometry/line.py:6 pyvista extras=test,viz
FINDING nova/geometry/polyline.py:9 pandas extras=interchange
FINDING nova/geometry/section.py:8 vedo extras=test,viz
FINDING nova/geometry/volume.py:8 meshio extras=test,viz
FINDING nova/geometry/volume.py:10 pandas extras=interchange
FINDING nova/geometry/volume.py:11 pyvista extras=test,viz
FINDING nova/geometry/volume.py:15 trimesh extras=test,viz
FINDING nova/geometry/volume.py:16 vedo extras=test,viz
FINDING nova/geometry/vtkgen.py:5 vedo extras=test,viz
FINDING nova/graphics/addtext.py:3 pylab extras=matplotlib,test
FINDING nova/graphics/addtext.py:4 matplotlib extras=matplotlib,test
FINDING nova/graphics/addtext.py:5 matplotlib extras=matplotlib,test
FINDING nova/graphics/bokeh.py:8 bokeh extras=bokeh
FINDING nova/graphics/bokeh.py:9 bokeh extras=bokeh
FINDING nova/graphics/bokeh.py:10 bokeh extras=bokeh
FINDING nova/graphics/plot.py:20 matplotlib extras=matplotlib,test
FINDING nova/graphics/png_tools.py:7 matplotlib extras=matplotlib,test
FINDING nova/graphics/png_tools.py:9 matplotlib extras=matplotlib,test
FINDING nova/graphics/polyfill.py:4 matplotlib extras=matplotlib,test
FINDING nova/graphics/polyfill.py:5 matplotlib extras=matplotlib,test
FINDING nova/graphics/polyfill.py:6 mpl_toolkits extras=matplotlib,test
FINDING nova/graphics/polyfill.py:7 mpl_toolkits extras=matplotlib,test
FINDING nova/graphics/pyplot.py:3 seaborn extras=matplotlib
FINDING nova/graphics/pyplot.py:4 matplotlib extras=matplotlib,test
FINDING nova/graphics/pyplot.py:5 matplotlib extras=matplotlib,test
FINDING nova/graphics/pyplot.py:6 matplotlib extras=matplotlib,test
FINDING nova/graphics/pyplot.py:7 mpl_toolkits extras=matplotlib,test
FINDING nova/graphics/pyplot.py:9 mpl_toolkits extras=matplotlib,test
FINDING nova/graphics/pyplot.py:10 matplotlib extras=matplotlib,test
FINDING nova/graphics/pyplot.py:11 matplotlib extras=matplotlib,test
FINDING nova/graphics/pyplot.py:12 matplotlib extras=matplotlib,test
FINDING nova/imas/connect.py:12 pandas extras=interchange
FINDING nova/imas/contour_tree.py:4 pyvista extras=test,viz
FINDING nova/imas/decimate.py:9 matplotlib extras=matplotlib,test
FINDING nova/imas/diiid_current.py:9 jax extras=gpu,jax
FINDING nova/imas/extrapolate.py:518 matplotlib extras=matplotlib,test
FINDING nova/imas/hdf5_read.py:3 matplotlib extras=matplotlib,test
FINDING nova/imas/mast_parity_chain.py:24 jax extras=gpu,jax
FINDING nova/imas/mast_parity_chain.py:25 jax extras=gpu,jax
FINDING nova/imas/test_ssh.py:3 pytest extras=test
FINDING nova/imas/test_utilities.py:3 pytest extras=test
FINDING nova/jax/tree_util.py:5 jax extras=gpu,jax
FINDING nova/limits/poloidal.py:4 pandas extras=interchange
FINDING nova/limits/poloidal.py:5 pandas extras=interchange
FINDING nova/linalg/interpolant.py:6 jax extras=gpu,jax
FINDING nova/linalg/interpolant.py:7 jax extras=gpu,jax
FINDING nova/linalg/interpolant.py:8 jax extras=gpu,jax
FINDING nova/linalg/regression.py:204 matplotlib extras=matplotlib,test
FINDING nova/linalg/split_spline.py:17 jax extras=gpu,jax
FINDING nova/linalg/split_spline.py:18 jax extras=gpu,jax
FINDING nova/linalg/tensor_spline.py:13 jax extras=gpu,jax
FINDING nova/linalg/tensor_spline.py:14 jax extras=gpu,jax
FINDING nova/media/gif.py:20 matplotlib extras=matplotlib,test
FINDING nova/media/ink.py:37 matplotlib extras=matplotlib,test
FINDING nova/media/layout.py:19 matplotlib extras=matplotlib,test
FINDING nova/media/poloidal.py:26 matplotlib extras=matplotlib,test
FINDING nova/media/traces.py:24 matplotlib extras=matplotlib,test
FINDING nova/scripts/render_misfit_figures.py:17 matplotlib extras=matplotlib,test
FINDING nova/scripts/render_misfit_figures.py:21 matplotlib extras=matplotlib,test
FINDING nova/scripts/render_misfit_figures.py:23 matplotlib extras=matplotlib,test
