angle_rad,retained_fraction,area_fraction,area_error,first_area_error,second_area_error,current_error,current_scaled_error,first_current_error,first_current_scaled_error,current_centroid_error_m,partition_area_error,partition_current_scaled_error,partition_first_current_scaled_error
0.0,1e-05,6.666733333477474e-06,0.0,8.823259866461921e-24,9.034467188866068e-21,5.972944361332111e-11,4.751544635788346e-16,2.7952921996630244e-12,9.265360357528128e-17,1.1984545152268729e-11,5.551115123125783e-17,4.630485104895398e-16,1.504166009652774e-16
0.0,0.0001,6.667333333288395e-05,0.0,5.945392521105815e-19,8.053168946882581e-20,6.714095945881127e-11,5.341139084159283e-16,3.4162404274198153e-12,1.1323574198009165e-16,1.313454530048308e-12,0.0,3.472863828671549e-16,5.601978344955187e-17
0.0,0.01,0.006733333333332798,0.0,2.7478934791928017e-20,2.4820889578395356e-20,5.877609510207549e-11,4.675704685997893e-16,3.9520791008636345e-12,1.3099681326829302e-16,1.0047869712822564e-14,2.7755575615628914e-17,1.1576212762238496e-16,4.256050768958694e-17
0.0,0.05,0.03500000000000015,3.469446951953614e-18,6.50624854359357e-19,2.2152840748458035e-19,6.912159733474255e-11,5.498701062063285e-16,3.868976585240418e-12,1.2824227206519791e-16,2.3316348507650826e-15,5.551115123125783e-17,5.788106381119248e-16,1.3566201436042895e-16
0.0,0.15,0.11500000000000049,1.0408340855860843e-17,4.47386687282234e-19,2.9393092549089267e-19,4.9112713895738125e-11,3.906971807255493e-16,1.3860911393412873e-12,4.594379756049101e-17,5.275560214187214e-16,8.326672684688674e-17,5.788106381119248e-16,1.9241398178174972e-16
0.0,0.3,0.25999999999999923,1.3877787807814457e-17,2.6364535649353063e-18,5.037548941561449e-19,4.729372449219227e-11,3.7622691477275113e-16,1.8682815641051087e-12,6.192662771658325e-17,1.6722376652837767e-16,0.0,1.1576212762238496e-16,7.175244926014727e-17
0.0,0.5,0.5,2.7755575615628914e-17,3.4814728006710074e-18,8.9770077572117e-19,4.3655745685100555e-11,3.472863828671549e-16,2.3347789912849306e-12,7.738929301218934e-17,3.7312310158175473e-17,5.551115123125783e-17,4.630485104895398e-16,1.620806437846119e-16
0.0,0.7,0.740000000000001,2.7755575615628914e-17,5.19014273928578e-18,7.383481429998949e-19,4.3655745685100555e-11,3.472863828671549e-16,2.6129430203948695e-12,8.660940233927945e-17,2.2354555652519038e-17,0.0,1.1576212762238496e-16,2.8288760845395533e-16
0.0,0.85,0.8849999999999992,2.7755575615628914e-17,6.146185560772047e-18,9.731365821834888e-19,4.3655745685100555e-11,3.472863828671549e-16,3.639754730461873e-12,1.206444149016419e-16,2.987365580481038e-17,8.326672684688674e-17,5.788106381119248e-16,1.1652819326985474e-17
0.0,0.95,0.9649999999999997,2.7755575615628914e-17,4.565410292944772e-18,1.104858836905526e-18,1.4551915228366852e-11,1.1576212762238496e-16,3.6997380977449375e-12,1.2263264179757269e-16,3.0617531495758404e-17,5.551115123125783e-17,2.315242552447699e-16,1.0195754487160893e-16
