tree_sha	window_index	member_id	role	chord_index	radius_m	height_m	psi_norm	electron_temperature_ev	electron_density_m-3	net_current_a	thomson_cocos	temperature_unit	density_unit	net_current_unit	support_method	supported	temperature_error_bound_ev	density_error_bound_m-3	net_current_support
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	field-high	counterfactual	5	1.25	0.04	0.1193476610124574	6910.489254240657	1.1730163084746886e+20	1000000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	current-low	counterfactual	0	0.94	-0.08	0.17062629849062483	6698.590828396094	1.211453027613203e+20	950000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557056	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	current-low	counterfactual	1	1.03	-0.03	0.032193087579530266	6870.855184315353	1.2171951728105116e+20	950000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557056	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	current-low	counterfactual	2	1.12	0.02	0.005256790248682728	6891.057407313488	1.2178685802437827e+20	950000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557056	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	current-low	counterfactual	3	1.0	0.12	0.14178913730709672	6763.474441059032	1.2136158147019676e+20	950000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557056	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	current-low	counterfactual	4	1.15	0.09	0.06304114175568411	6847.719143683237	1.2164239714561078e+20	950000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557056	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	current-low	counterfactual	5	1.25	0.04	0.11941593484486587	6805.438048866351	1.2150146016288781e+20	950000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557056	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	truth	truth	0	0.94	-0.08	0.17064988128624312	6873.537767105953	1.1838512589035318e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055722	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	truth	truth	1	1.03	-0.03	0.03220355222906686	7045.8473358282	1.1895949111942734e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055722	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	truth	truth	2	1.12	0.02	0.005254136752137617	7066.059397435897	1.1902686465811966e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055722	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	truth	truth	3	1.0	0.12	0.1418039746719939	6938.441056988014	1.1860147018996005e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055722	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	truth	truth	4	1.15	0.09	0.06303411554377843	7022.724413342166	1.1888241471114055e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055722	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	truth	truth	5	1.25	0.04	0.11939433291509166	6980.454250313681	1.1874151416771227e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055722	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	pressure-high	counterfactual	0	0.94	-0.08	0.17077906685519584	7048.2470995758085	1.1838415699858602e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557305	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	pressure-high	counterfactual	1	1.03	-0.03	0.03226089836081704	7220.804326229386	1.1895934775409795e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557305	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	pressure-high	counterfactual	2	1.12	0.02	0.005239643446685227	7241.070267414985	1.1902690089138328e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557305	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	pressure-high	counterfactual	3	1.0	0.12	0.1418852672828116	7113.258148613673	1.186008604953789e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557305	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	pressure-high	counterfactual	4	1.15	0.09	0.06299567575925852	7197.753243180555	1.1888251081060185e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557305	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	pressure-high	counterfactual	5	1.25	0.04	0.11927607153367999	7155.542946349739	1.187418098211658e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557305	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	field-high	counterfactual	0	0.94	-0.08	0.17072443789613204	6873.370014733703	1.15984566715779e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055706	1.4368127893519e+17	typed window plasma-current conservation ledger
