window	coupling	damping	tolerance	iteration	maximum_residual	iteration_cap_one	iterations_used	contraction_estimate
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	44	1.10976759647422307e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	45	9.32138575780478579e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	46	7.82949695326552698e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	47	6.57644790297547626e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	48	5.52398373805768097e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	49	4.63998230038243728e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	50	3.89746939351740766e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	51	3.27379262971325323e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	52	2.74992819171694953e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	53	2.30989902786670223e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	54	1.94028649947711312e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	55	1.62982042072421860e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	56	1.36903487320510314e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	57	1.14997921757433659e-05	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	58	9.65975433308182812e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	59	8.11414347619719150e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	60	6.81584512507082056e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	61	5.72528493059557197e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	62	4.80922171964750180e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	63	4.03973381064837840e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	64	3.39336762766248477e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	65	2.85042261686940535e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	66	2.39435063021381711e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	67	2.01125144728487949e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	68	1.68944904133870623e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	69	1.41913566014568042e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	70	1.19207287184018441e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	71	1.00134044848171868e-06	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	72	8.41125437611718439e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	73	7.06544987331613462e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	74	5.93497520765359613e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	75	4.98537728185704066e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	76	4.18771558024586479e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	77	3.51768014630725430e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	78	2.95485065762363798e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	79	2.48207408273351129e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	80	2.08494189708948986e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	81	1.75135096101604451e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	82	1.47113464049402552e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	83	1.23575298237614727e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	84	1.03803242469857895e-07	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	85	8.71947178819801900e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	86	7.32435588047485219e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	87	6.15245865785831629e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	88	5.16806505622603436e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	89	4.34117452096232837e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	90	3.64658648732275537e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	91	3.06313257875143434e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	92	2.57303131526528534e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	93	2.16134627784641625e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	94	1.81553084650109154e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	95	1.52504588934399978e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	96	1.28103855204276296e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	97	1.07607236645588833e-08	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	98	9.03900775824745465e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	99	7.59276646856308246e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	100	6.37792395181427080e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	101	5.35745610476096894e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	102	4.50026291006415599e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	103	3.78022097123387593e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	104	3.17538555042251596e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	105	2.66732394575209572e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	106	2.24055211948872712e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	107	1.88206385227872666e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	108	1.58093350522399125e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	109	1.32798417413074659e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	110	1.11550669199907070e-09	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	111	9.37025749396125385e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	112	7.87101408752474506e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	113	6.61165346443849599e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	114	5.55378855250690595e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	115	4.66518269331004449e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	116	3.91875332798364550e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	117	3.29175243052753774e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	118	2.76507372859960661e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	119	2.32266117666098346e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	120	1.95103489072528871e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	121	1.63887037381870726e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	122	1.37664879571764376e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	123	1.15638521034554197e-10	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	124	9.71365210866658728e-11	false	124	8.40001413176499345e-01
